ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	%s konumundaki canavarlara saldýrýlýyor.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Bu sefer lonca savaþýna katýlamazsýn çünkü tüm slotlar zaten dolu. Bir dahaki sefere tekrar dene!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Henüz katýlamazsýn. Kalan süre: %d dakika.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Sadece birinci köyden veya Dongan Ovasý'ndan girebilirsin.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Loncan için uygun bir rakip bulunamadý. Bir dahaki sefere tekrar dene.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Envanterinde yeterli alan yok.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Lonca savaþýna katýlmak için tüm gereksinimleri karþýlamýyorsun.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Bu bölgeye giremezsin çünkü zaten baþka bir lonca tarafýndan fethedildi.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Bunu ancak bölge loncan tarafýndan fethedildikten sonra kullanabilirsin.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Yalnýzca lonca lideri bunu kullanabilir.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Lonca Savaþý Biletini kullanamazsýn.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Bu zaten uygulandý ve tekrar kullanýlamaz.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Daha en az 2 loncanýn katýlýmýný beklemelisin.
GUILD_BATTLE_DEAD_TO_PLAYER	%s loncasýnýn bir üyesi tarafýndan maðlup edildin.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	%s üzerinden %s aldýn.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Lonca savaþý %d dakika sonra baþlýyor. Katýlým için kayýt oldun. Hazýr ol ve elinden gelenin en iyisini yap!
GUILD_BATTLE_END_MESSAGE	Lonca savaþý sona erdi.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Lonca savaþý %d dakika sonra sona erecek.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Þuraya girdin: %s. Tüm canavarlarý alt et!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Gir
GUILD_BATTLE_ENTER_MESSAGE	Birazdan lonca savaþýna kaydolacaksýn.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Þuraya girdin: %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Mavi takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Yeþil takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_RED	Kýrmýzý takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Sarý takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Bir lonca ödülü kazandýn. Onu envanterinde bulabilirsin.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Bir buff ödülü kazandýn! Daha fazlasýný öðrenmek için buff simgesine bak.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Lonca ödülü kazandýn
GUILD_BATTLE_LIST_REMAIN_TIME	Kalan süre: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s, %d canavar yendi.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Bu sandýðý açmak için Galibin Anahtarý yok. Bir anahtar bulmak için canavarlarý yen.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Envanterinde yer aç ve tekrar dene.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Lonca portalý biletin yok.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Loncan son 24 saat içinde kurulduðu için henüz katýlamazsýn.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Bölge fethedildi. Kýsa bir süre sonra bir portal açýlacak ve bu bölgeyi savunmak için canavarlar belirecek.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s fethedildi. Kýsa bir süre sonra bir portal açýlacak ve bu bölgeyi savunmak için canavarlar belirecek.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Bu bölge zaten baþka bir lonca tarafýndan fethedildi. Birazdan Lonca Karakolu'na geri ýþýnlanacaksýn.
GUILD_BATTLE_ONGOING	Savaþ devam ediyor.
GUILD_BATTLE_OPEN_REWARD_BOX	Þunu açmak istiyor musun: %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Diðer loncalar zaten savaþýyor.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Kalan süre: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Kalifiye misin?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Savaþýn baþlamasýna: %s
GUILD_BATTLE_PERSONAL_BUFF	Ödül buffý
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Ödül buffý kazandýn
GUILD_BATTLE_PK_GUILD_MESSAGE	%s, diðer loncalardan %d oyuncu yendi.
GUILD_BATTLE_PLAYER_KILL	%s loncasýnýn bir üyesini yendin.
GUILD_BATTLE_QUALIFICATION	Katýlmak için ejderha kralýný yen\nveya bir lonca savaþý bileti kullan.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Lütfen tekrar dene.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	%s sonra ýþýnlanacaksýn.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Lonca diriltmesiyle dirildin.
GUILD_BATTLE_START_MESSAGE	Lonca savaþý baþladý! Lonca Savaþý menüsünde "Giriþ"e týklayarak bu zorlu mücadeleye göðüs ger!
GUILD_BATTLE_STATUS_BOARD_PK	OK devirmeleri: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Mavi
GUILD_BATTLE_TEAM_NAME_GREEN	Yeþil
GUILD_BATTLE_TEAM_NAME_RED	Kýrmýzý
GUILD_BATTLE_TEAM_NAME_YELLOW	Sarý
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Lonca portalý biletini kullandýn ve kýsa süre içinde %s konumuna ýþýnlanacaksýn.
GUILD_BATTLE_USE_SCROLL	Lonca savaþýna katýlmak istiyor musun?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Lonca savaþý kaydýn iptal edildi.
GUILD_BOARD_ID	Üye
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_ALTAR	Sunak
GUILD_BUILDING_CATEGORY_SMELT	Arýndýrma binasý
GUILD_BUILDING_CATEGORY_SPECIAL	Tapýnaklar
GUILD_BUILDING_CATEGORY_STORAGE	Lonca Deposu
GUILD_BUILDING_FIX_CHANGE	Posizyonu gerçekten deðiþtirmek istiyor musun?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ücret: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Bu nesneyi gerçekten silmek istiyor musun?
GUILD_BUILDING_FIX_NEED_BUILDING	Bina yok.
GUILD_BUILDING_GRADE	Sýralama
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Bu bina deðiþtirildiði için yatýrým yapamadýn.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Bina tecrübesi
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Bina tecrübesi yatýr
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Özel inþaat biletleri almak için envanterinde yeterli alan yok.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Tüm yatýrým seçeneklerini kullandýn.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	%s eþyan eksik.
GUILD_BUILDING_INVEST_QUESTION	1 %s ile %s ögesine yatýrým yapmak istiyor musun?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s %s. seviyeye ulaþtý.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Bu bina zaten maksimum seviyesine ulaþtý ve daha fazla geliþtirilemez.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Bir %s ile %s konumunda %s EXP yatýrým yaptýn.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Lonca seviyesi bu binayý daha fazla geliþtirmek için yeterli deðil. Önce lonca seviyeni yükselt.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Manzara
GUILD_BUILDING_LOG_PLUS	Gövde+
GUILD_BUILDING_NAME	Binanin ismi
GUILD_BUILDING_PLY_PLUS	Kontrplak+
GUILD_BUILDING_SMELT_STONE	Runik taþý
GUILD_BUILDING_STONE_PLUS	Temel taþý+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Bu eþyayý kullanma hakkýn yok.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Geliþtirme binasý
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Arýndýrma binasý
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Tapýnaklar
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Kapat
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Ýsim
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Bina türü
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Alýnan miktar
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiþ durumda.
GUILD_CHANGEMASTER_TEXT1	Yeni lider: %s
GUILD_CHANGEMASTER_TEXT2	Yeni bir lonca lideri belirlemek ister misin?
GUILD_CHANGEMASTER_TEXT3	Lonca lideri pozisyonunu
GUILD_CHANGEMASTER_TEXT4	devretmek istediðine emin misin?
GUILD_COMMENT	Yaz
GUILD_CONTENTS_ONGOING	Savaþ devam ediyor.
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adý hatalý
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Kullanýlan tecrübe
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Minimum miktar: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Kullanýlabilecek tecrübe puaný yok.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Yeterli Tecrübe Puaný yok.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Yetersiz Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Gerekli Miktar
GUILD_DEPOSIT	Depozit
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Þu anda savaþta olduðun için loncadan ayrýlamazsýn.
GUILD_DISBAND_SUCCESS_MESSAGE	Lonca feshedildi.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Yeterince büyük baðýþ belgesine sahip deðilsin.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Envanterin dolu. Baðýþ yapamazsýn.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Baðýþ yapmak için minimum seviyen 30 olmalý.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Yeterince orta baðýþ belgesine sahip deðilsin.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Yetersiz Yang.
GUILD_DONATE_FAIL_TIME	Loncaya katýldýktan sonraki 24 saat boyunca baðýþ yapamazsýn.
GUILD_DONATE_QUESTION_HIGH	Bir büyük baðýþ yapmak istiyor musun?
GUILD_DONATE_QUESTION_MIDDLE	Bir orta baðýþ yapmak istiyor musun?
GUILD_DONATE_QUESTION_NORMAL	Bir küçük baðýþ yapmak istiyor musun?
GUILD_DO_YOU_HEAL_GSP	%d Yang kullanarak %d Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	 seni davet ediyor. Loncaya katýlmak istiyor musun?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Toplam sýralama listesi: Meley'in Ýni
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Toplam sýralama listesi: Balathor'un Mahzeni
GUILD_DRAGONLAIR_PARTY_ALL	Genel en iyiler listesi
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. sýradan itibaren: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Yardým
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. sýra: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. sýra: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. sýra: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Üyeler
GUILD_DRAGONLAIR_PARTY_NOW	Haftanýn en iyiler listesi
GUILD_DRAGONLAIR_PARTY_PAST	Önceki en iyiler listesi
GUILD_DRAGONLAIR_PARTY_TIME	Zaman
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ödül
GUILD_DRAGONLAIR_RANKING_FAIL	BAÞARISIZ
GUILD_DRAGONLAIR_RANKING_NONE	YENÝ
GUILD_DRAGONLAIR_RANKING_SUCCESS	BAÞARILI
GUILD_DRAGONLAIR_SECOND	Sn.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Güncel sýralama: Meley'in Ýni
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Güncel sýralama: Balathor'un Mahzeni
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Balathor'un Mahzeni'ne kaydoldun. Girmek için Ejderha Bekçisi Dolnarr ile konuþ. Sonrasýnda savaþa baþlamak için 10 dakikan var.
GUILD_DRAGON_LAIR_DUNGEON_START	Balathor'un Mahzeni için savaþ baþladý. En fazla bir saat kalabilirsiniz.
GUILD_EMPTY_AREA	Boþ alan
GUILD_ENEMY_GUILD_NAME	Düþmanýn Lonca adý
GUILD_FACILITY	Ek bina
GUILD_GEM	Deðerli taþ
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boþ
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Lonca bölgesi%s konumunda %d, %d koordinatlarýnda yer almaktadýr.
GUILD_LAND_TEXT	Lonca bölgesi
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_MARK_UPLOAD_NOTICE	Lonca logolarýný kaydetmek için lütfen biraz bekle.
GUILD_MEMBEROUT_AUTH	Üye kaldýramazsýn.
GUILD_MEMBEROUT_NOMAL	Bu üyeyi kaldýrmak mý istiyorsun?
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Üye
GUILD_MEMBER_RANK	Rütbe
GUILD_MEMBER_SPECIFIC_GRAVITY	Baðýþlanan EXP
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Lonca seviyesi 21'den itibaren mevcut.
GUILD_NAME	Lonca adý
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inþaat malzemesine sahip deðilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip deðilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OBJECT_POSSIBLE_NEWWORLD	Bu bina sadece Yohara kýtasýnda mevcut.
GUILD_OFFER_EXP	Tecrübe yatýr
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Sýralama listesi ödülleri:\n1. Sýra: "Alevli Fatih" ünvaný ve Magma Ejderi (5 gün)\n2. Sýra: Magma Ejderi (3 gün)\n3. Sýra: Magma Ejderi (1 gün)
GUILD_SELECT_ONE	Bir lonca üyesi seç.
GUILD_SHORT_EXP	Yeterli Tecrübe Puaný yok.
GUILD_SITE_AUCTION_END_TIME	Bölge müzayedesi: %02d/%02d (ay/gün), saat %02d:%02d'da
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Bölge müzayedesi: N/A
GUILD_SITE_AUCTION_INFO	Teklif edilen bölge: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Teklif edilen bölge: N/A
GUILD_SITE_AUCTION_MAP_INFO	Tarih (ay/gün): %02d/%02d; saat: %02d:%02d'da
GUILD_SITE_AUCTION_STATE_NONE	Tüm teklifler verildi.
GUILD_SITE_AUCTION_STATE_REGIST	%s sonra bölge %s ,%s açýk artýrmaya çýkarýlacak. Sadece lonca liderleri bölge müzayedesine kaydolabilir.
GUILD_SITE_AUCTION_STATE_RUN	Bölge müzayedesi %02d/%02d (ay/gün), saat %02d:%02d'da sona eriyor.
GUILD_SITE_AUCTION_STATE_WAIT	%02d/%02d (ay/gün), saat %02d:%02d'da %s, Bölge %d,%d müzayedesi baþlýyor.
GUILD_SITE_AUTO_ABNDON_TIME	Otomatik bölge görevi: %s
GUILD_SITE_TAX_INFO	Lonca bölgesi %s sonra býrakýlacak. Lonca deposundaki tüm eþyalar silinir.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Buff kazandýn
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Yeterli sayýda özel inþaat biletin yok.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Yeterince Yang'ýn yok.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Bufflarý almak istiyor musun? Etkiler aynýysa, yalnýzca daha yüksek olan deðer uygulanýr.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Mevcut buff listeni ilgili ücret karþýlýðýnda yeni bir listeyle deðiþtirebilirsin.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	Buff listesi deðiþtirildi.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	Çaðrý listesi deðiþtirildi.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Yeterli sayýda özel inþaat biletin yok.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Yeterince Yang'ýn yok.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Canavar çaðýrmak istiyor musun?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Mevcut çaðrý listeni ilgili ücret karþýlýðýnda yeni bir listeyle deðiþtirebilirsin.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Çaðýr
GUILD_TILE_BASEINFO	Bölge bilgileri
GUILD_TILE_BOARD	Lonca notlarý
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_GUILD_BATTLE	Lonca Savaþý
GUILD_TILE_GUILD_CONTENTS_LIST	Lonca Savaþý
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Üyeler
GUILD_TILE_SKILL	Lonca becerisi
GUILD_USE_MASTER_ONLY	Sadece lonca lideri bu yetkiye sahip.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaþý Bölgesi
GUILD_WAR2	Lonca Savaþý Bölgesi
GUILD_WAR3	Lonca Savaþý Bölgesi
GUILD_WAR4	Lonca Savaþý Bölgesi
GUILD_WAR_GAINSCORE_FIFTY	50 puan
GUILD_WAR_GAINSCORE_HUNDRED	100 puan
GUILD_WAR_GAINSCORE_THIRTY	30 puan
GUILD_WAR_GAMETIME_SIXTY	60 dakika
GUILD_WAR_GAMETIME_TEN	10 dakika
GUILD_WAR_GAMETIME_THIRTY	30 dakika
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_SELECT_WAR	Savaþ türünü seç
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaþý
GUILD_WAR_TYPE_DIE	Arena Savaþý
GUILD_WAR_TYPE_FLAG	Bayrak Savaþý
GUILD_WAR_TYPE_NORMAL	Meydan Savaþý
GUILD_WAR_TYPE_TIGER	Ýmha Savaþý
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaþý Arenasý
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaþý en yüksek skor kazanýr
GUILD_WAR_WIN_FIVE	Beþ tur
GUILD_WAR_WIN_ONE	Bir tur
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düþmanýn bayraðýný ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_THREE	Üç tur
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düþmanlarý öldür.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Sýralama listesi ödülleri:\n1. Sýra: "Soðukkanlý Hakim" ünvaný ve Balathor'un Buz Kýlýcý (5 gün)\n2. Sýra: Balathor'un Buz Kýlýcý (3 gün)\n3. Sýra: Balathor'un Buz Kýlýcý (1 gün)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Efektler zaten etkin.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Bunu sadece Balathor'un Mahzeninde kullanabilirsin.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Ateþli ejderha yumurtasýný diðer yöne hareket ettirmelisin.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Hwacha atýþa hazýr!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	%d saniye içinde kaybolmadan önce donmuþ ejderha yumurtasýna odaklan.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Buz gibi soðuðu baþarýyla savuþturdun.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Balathor'un kükremesi mahzeni sarsýyor.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor'un ejderha yumurtasý onun yakýnýnda deðil; artýk kendini tutmuyor!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathor'un ejderha yumurtalarý yine onun yakýnýnda. Tüm gücünü salmamaya dikkat edecek.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Balathor'un Mahzenini baþarýyla tamamlayamadýn. 5 dakika içinde dýþarý ýþýnlanacaksýn.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	3 dakika içinde dýþarý ýþýnlanacaksýn. Zindandan hemen çýkmak için Ejderha Bekçisi Dolnarr ile konuþabilirsin.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Daha fazla ok yükleyemezsin.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Bir ejderha yumurtasý yok edildiði için Balathor'un mühürleri önemli ölçüde zayýfladý.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Bir kahramanýn ölümü Balathor'un mührünü zayýflattý.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Birisi donduðu için Balathor'un mühürleri zayýfladý.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Alevli oklar almak için antik buz kristallerini yok et.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Donmuþ ejderha yumurtasýný hýzla yok et!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	10 saniye sonra Balathor'un ejderha yumurtasý görünecek ve hedefli saldýrý yapýlabilecek.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor kaçýyor ve hazinesini geride býrakýyor.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Bir sonraki hedefli saldýrý daha fazla hasar gerektirecek.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Balathor'un ejderha yumurtalarýndan biri büyülü buz soðuðunu çaðýrýyor! Bunu yapmasýný engellemek için hedefli bir saldýrý gerçekleþtir.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Balathor'un Mahzeni'nde zafer giriþiminden vazgeçtin. 1 dakika içinde dýþarý ýþýnlanacaksýn.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Hwacha þu anda %d alevli okla yüklü.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Kalan süre: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	%d dakika içinde dýþarý ýþýnlanacaksýn. Zindandan hemen çýkmak için Ejderha Bekçisi Dolnarr ile konuþabilirsin.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Ödülünü Balathor'un hazinesinden alabilirsin. 5 dakika içinde dýþarý ýþýnlanacaksýn.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Ateþli ejderha yumurtasý belirdi.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Yeterli ejderha gücüne sahip deðilsin.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Hasar vermek için yumurtalarý yok et!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	Balathor'un ejderha yumurtasý orijinal konumunda yeniden ortaya çýkar.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Hwacha tamir edilene kadar yüklenemez.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Hwacha artýk tamamen onarýldý.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor bir ejderha yumurtasýnýn yok edildiðini gördü. Buz nefesinden kaçýn!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Kalan
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Þans: %d
